,scc,p
k__Bacteria;p__Bacteroidetes;c__CFGB667;o__OFGB667_0,888.5,0.000755768123866234
k__Bacteria;p__Bacteroidetes;c__CFGB667_0,888.5,0.000755768123866234
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__GGB13758;s__GGB13758_SGB9208_0,373.5,0.04272810488229183
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__GGB13758_0,373.5,0.04272810488229183
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__GGB6518;s__GGB6518_SGB9205_0,598.5,0.023619137714892515
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__GGB33512;s__GGB33512_SGB15201_0,848.5,0.006618429647178544
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__GGB33512;s__GGB33512_SGB15203_0,1058.5,0.002436304593493223
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__GGB33512_0,1161.5,0.002436304593493223
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__GGB35551;s__GGB35551_SGB53794_0,406.0,0.03316448350582313
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__GGB35551_0,406.0,0.03316448350582313
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__GGB9694;s__GGB9694_SGB15204_0,787.0,0.001155102238764795
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__GGB9694_0,700.0,0.0038602280916187684
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4567_0,847.5,0.007345394566824915
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4569;s__GGB4569_SGB6312_0,822.5,0.003934063477700254
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4569_0,815.0,0.01968430724726637
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB9677;s__GGB9677_SGB15180_0,612.0,0.047089042276324336
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae_0,873.5,0.041559539435908545
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_SGB15012_0,986.0,0.005467427580664816
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_0,-1124.5,0.008122522019041466
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae_0,-1187.5,0.004849843194404188
k__Bacteria;p__Firmicutes;c__CFGB1320;o__OFGB1320;f__FGB1320;g__GGB3160_0,364.5,0.04779654215478208
k__Bacteria;p__Firmicutes;c__CFGB1778;o__OFGB1778;f__FGB1778;g__GGB4715_0,313.5,0.039682620656776885
k__Bacteria;p__Firmicutes;c__CFGB1838;o__OFGB1838;f__FGB1838_0,-578.0,0.017904234866345698
k__Bacteria;p__Firmicutes;c__CFGB2881;o__OFGB2881;f__FGB2881_0,1574.5,6.743801891935744e-05
k__Bacteria;p__Firmicutes;c__CFGB3069;o__OFGB3069;f__FGB3069;g__GGB9767_0,919.0,0.01073832724877171
k__Bacteria;p__Firmicutes;c__CFGB3070;o__OFGB3070;f__FGB3070;g__GGB9775;s__GGB9775_SGB15395_0,978.5,0.014245748854263721
k__Bacteria;p__Firmicutes;c__CFGB3070;o__OFGB3070;f__FGB3070;g__GGB9775_0,978.5,0.014245748854263721
k__Bacteria;p__Firmicutes;c__CFGB76352;o__OFGB76352;f__FGB76352_0,705.0,0.015660410521300606
k__Bacteria;p__Firmicutes;c__CFGB76784;o__OFGB76784;f__FGB76784;g__GGB80012;s__GGB80012_SGB15001_0,350.5,0.02922983474302976
k__Bacteria;p__Firmicutes;c__CFGB76784;o__OFGB76784;f__FGB76784;g__GGB80012_0,443.5,0.024650131738157423
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__Candidatus_Heteroruminococcus;s__Candidatus_Heteroruminococcus_faecigallinarum_0,402.5,0.034764424740164765
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__Candidatus_Heteroruminococcus_0,402.5,0.034764424740164765
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__Candidatus_Woodwardibium_0,1713.5,9.761670034564214e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB9115_0,1672.0,8.962654892977647e-07
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB9200;s__GGB9200_SGB14139_0,498.5,0.008607527443609724
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB9200_0,498.5,0.008607527443609724
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified_0,1454.5,0.000542004494405906
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified_0,1454.5,0.000542004494405906
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Butyricicoccus_0,797.5,0.043666126980209004
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_bacterium_AF18_31LB_0,-1209.0,0.0038546161512073174
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_bacterium_Marseille_Q4143_0,-987.5,0.017904234866345698
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_bacterium_Marseille_Q4149_0,-920.5,0.015929019973515594
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_unclassified_SGB15090_0,891.5,0.014541088513547872
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_SGB4648_0,1879.5,5.365883870522729e-07
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp_AF36_4_0,1226.5,0.0031010340701839293
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB3175;s__GGB3175_SGB4191_0,957.5,0.006546375182487213
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB3175_0,957.5,0.006546375182487213
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB9782;s__GGB9782_SGB15403_0,1217.5,0.00016985459813335905
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB9782_0,1217.5,0.00016985459813335905
